restaurant_url,restaurant_name,number_of_reviews
https://www.tripadvisor.com/Restaurant_Review-g293926-d12130537-Reviews-Quan_Cam_Bun_Bo_Hue-Hue_Thua_Thien_Hue_Province.html,Quan Cam - Bun Bo Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d10178110-Reviews-Tai_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,Tai Phu Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g2549590-d4545135-Reviews-Rice_Bowl-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html,Rice Bowl,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g2549590-d12604069-Reviews-Moomba-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html,Moomba,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d27732333-Reviews-Ngon_Pizza_Steak_Ribs-Hue_Thua_Thien_Hue_Province.html,Ngon' Pizza - Steak - Ribs,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d23220341-Reviews-Hue_Cuisine_Cafe-Hue_Thua_Thien_Hue_Province.html,Hue Cuisine & Café,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d12913420-Reviews-Hoang_Phu_Restaurant-Hue_Thua_Thien_Hue_Province.html,Hoang Phu Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d28669803-Reviews-Sake_Restaurant-Hue_Thua_Thien_Hue_Province.html,Saké Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g11923533-d12605181-Reviews-Azura-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html,Azura,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g11923533-d15398599-Reviews-Nha_Hang_H_i_S_n_Lang_Chai-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html,Nhà Hàng Hải Sản Làng Chài,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d10169373-Reviews-Hue_Jade_Restaurant-Hue_Thua_Thien_Hue_Province.html,Hue Jade Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d33931796-Reviews-Starbucks_Hue-Hue_Thua_Thien_Hue_Province.html,Starbucks Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g12293805-d17623523-Reviews-Chuon_Lagoon_Restaurant-Thuan_An_Thua_Thien_Hue_Province.html,Chuon Lagoon Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d24946595-Reviews-Nha_Hang_Gao-Hue_Thua_Thien_Hue_Province.html,Nha Hang Gao,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d15186319-Reviews-Quan_banh_Chi-Hue_Thua_Thien_Hue_Province.html,Quán bánh Chi,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1795319-Reviews-Khong_Gian_Xua-Hue_Thua_Thien_Hue_Province.html,Khong Gian Xua,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d34040376-Reviews-Luna_Bistro_Bar-Hue_Thua_Thien_Hue_Province.html,Luna Bistro & Bar,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d4793181-Reviews-Lac_Thanh-Hue_Thua_Thien_Hue_Province.html,Lac Thanh,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d32869134-Reviews-1995s_Hub_Rooftop_Bar-Hue_Thua_Thien_Hue_Province.html,1995s Hub Rooftop Bar,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d12230714-Reviews-Bun_bo_Hue-Hue_Thua_Thien_Hue_Province.html,Bun bo Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g11923533-d10039797-Reviews-Minh_Hang-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html,Minh Hang,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25755822-Reviews-Hi_Boss_restaurant-Hue_Thua_Thien_Hue_Province.html,Hi Boss restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d4914368-Reviews-La_Pines-Hue_Thua_Thien_Hue_Province.html,La Pines,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d6894038-Reviews-Thanh_Lieu-Hue_Thua_Thien_Hue_Province.html,Thanh Liêu,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26313442-Reviews-Nha_Hang_Chay_Huong_Mai-Hue_Thua_Thien_Hue_Province.html,Nhà Hàng Chay Hương Mai,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25391726-Reviews-Nam_Phuong_Restaurant-Hue_Thua_Thien_Hue_Province.html,Nam Phuong Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d15296514-Reviews-Golden_Land-Hue_Thua_Thien_Hue_Province.html,Golden Land,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1633392-Reviews-Pho_Sai_Gon-Hue_Thua_Thien_Hue_Province.html,Pho Sai Gon,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d4747357-Reviews-The_Beach_Bar_Hue-Hue_Thua_Thien_Hue_Province.html,The Beach Bar Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25353059-Reviews-The_Temple_Restaurant_Hue-Hue_Thua_Thien_Hue_Province.html,The Temple Restaurant Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d33056551-Reviews-Nha_Hang_Than_Thi_n_Com_Nieu_Nha_Ruong-Hue_Thua_Thien_Hue_Province.html,Nhà Hàng Thân Thiện - Com Nieu Nha Ruong,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d30695557-Reviews-An_Nhi_Vegan_Tea_Coffee_Restaurant-Hue_Thua_Thien_Hue_Province.html,An Nhi Vegan _ Tea _ Coffee Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d13480429-Reviews-Quan_So_Hu-Hue_Thua_Thien_Hue_Province.html,Quán Sò Huế,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d28114321-Reviews-Da_me_Cafe_Coffee_Pastry-Hue_Thua_Thien_Hue_Province.html,Đa:mê Café - Coffee & Pastry,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d4062843-Reviews-Ba_Do-Hue_Thua_Thien_Hue_Province.html,Ba Do,Xem khi lặp Review
